File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px,Distance_cm
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,0,1428.7117682880414,90.16762696084459,0.0,0.0
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,1,1426.5163565238731,90.69467430230729,2.25778912088605,0.15478876153901341
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,2,1439.4922976943294,89.89556339159675,13.000524124309718,0.8912856430853227
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,3,1441.915345724717,90.87473624912556,2.613415627581422,0.17916968623769372
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,4,1444.3776052561586,91.41989318036417,2.521887800805613,0.17289475169135976
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,5,1454.4356392880866,93.34886664595051,10.24133717921429,0.7021222149621829
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,6,1449.7172790430911,97.50376227337985,6.286977101627208,0.43102050159720234
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,7,1457.4439838913675,95.68677028164555,7.937469855716194,0.544174439213081
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,8,1464.682817743971,97.53882625600625,7.4720028692289535,0.5122631071452829
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,9,1471.8566147172057,98.16280459744313,7.2008827225398315,0.49367574159104743
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,10,1476.7305139951366,96.53404753859533,5.138846536739661,0.35230734518236073
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,11,1488.327557378904,98.43906193471426,11.752467617245491,0.8057217968996502
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,12,1495.3290651610437,102.66052066660785,8.175684989555517,0.5605059137541438
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,13,1492.1076815702752,108.01099566850384,6.245389898540067,0.42816937985063114
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,14,1483.5657367268154,112.19914782291445,9.51343472028915,0.6522189183717519
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,15,1493.7419992724626,109.8976282284467,10.433279055103487,0.7152813027536522
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,16,1491.727032431187,111.82677301142488,2.7895682399132324,0.19124629890823505
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,17,1496.1150963201703,112.07291503422582,4.394961955374457,0.30130835151536156
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,18,1498.0525644479303,113.15762636943946,2.2204462224577157,0.15222861943073246
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,19,1501.662917498683,113.40659907900873,3.6189275429594137,0.24810524033984133
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,20,1521.9026616196684,111.80258621333273,20.303204164767006,1.3919403716077328
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,21,1525.876853985168,112.70655434756522,4.075704030680303,0.27942077206085064
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,22,1517.4742040360093,112.40141043977837,8.408188804526072,0.5764458335807857
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,23,1519.47910964364,110.954436211441,2.4725252097767387,0.1695105674639516
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,24,1523.167850965877,109.2547732599959,4.061485773814128,0.2784460014982681
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,25,1527.204461032456,108.3276033770985,4.141722446200228,0.28394684080773464
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,26,1523.6186233934034,108.57752224972197,3.5945362728090826,0.24643303168934894
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,27,1505.8329806212264,110.29610596770759,17.86848115580102,1.2250214349532382
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,28,1483.8799522072695,110.23667677942029,21.95310885438366,1.505053992893563
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,29,1481.1219392523365,108.91316880841121,3.0591353041183362,0.2097271887460073
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,30,1466.5608438433578,105.8777310120528,14.874117860395627,1.0197348642075232
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,31,1449.0131111808557,100.7954039602763,18.268907188331266,1.2524737107614472
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,32,1453.3917601128232,101.25776520363236,4.402992662812198,0.30185891810595716
WIN_20230601_5511_LT_Imaging_T1.mp4,98.0,False,0.8,200.0,469.0,33,1461.9244970768145,104.70399561344166,9.202396651642308,0.6308948730957976
