File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px,Distance_cm,Time in Seconds
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,43,1495.869711,82.15516343,3.605146333,0.247852525,3.024760833
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,44,1502.244169,85.68971824,7.288812986,0.501103293,3.095104108
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,45,1502.294924,87.59261743,1.90357596,0.130870168,3.165447383
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,46,1506.309709,91.65931152,5.714586295,0.39287577,3.235790658
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,47,1512.692016,96.7245403,8.148029898,0.56017415,3.306133934
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,48,1509.629345,97.95607491,3.301004457,0.226942879,3.376477209
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,49,1509.561609,99.97198544,2.017048206,0.138671345,3.446820484
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,50,1508.109759,101.5263038,2.126916608,0.146224758,3.517163759
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,51,1509.097964,102.4277062,1.337563271,0.091956998,3.587507034
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,52,1511.166573,102.2810189,2.073803684,0.142573264,3.65785031
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,53,1517.543674,105.153998,6.994384833,0.480861463,3.728193585
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,54,1527.017198,110.8252648,11.04132841,0.75908739,3.79853686
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,55,1533.295962,114.0576061,7.061933262,0.485505393,3.868880135
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,56,1539.494797,119.3972931,8.1815533,0.562478871,3.93922341
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,57,1539.547329,118.8363195,0.563427876,0.038735466,4.009566685
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,58,1542.976275,117.7665511,3.591945858,0.246944997,4.079909961
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,59,1547.34511,117.7390759,4.368921414,0.300361789,4.150253236
WIN_20230601_5508_LT_Imaging_T1.mp4,98,FALSE,0.8,200,270,60,1557.394312,122.6709447,11.19418517,0.769596238,4.220596511
