File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px,Distance_cm
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,0,171.6334545896438,74.98003101414129,0.0,0.0
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,1,171.0598879908424,75.33657842513199,0.6753552395182614,0.046445215875101364
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,2,170.13203035301882,75.45587066974596,0.9354947544976493,0.06433540939678077
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,3,169.9868996917417,75.27757147020215,0.22989891996417863,0.015810501410791537
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,4,169.5601945575747,75.83033372763528,0.6983003542653081,0.04802318661604909
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,5,168.91459144901972,76.39324330805592,0.856545719448291,0.05890596314177879
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,6,167.43435750722128,77.81046483718697,2.049294850694924,0.14093315067808213
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,7,166.65522791129055,77.28200714694891,0.9414406288380157,0.06474431629665398
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,8,167.24494991847834,76.92266577217376,0.6905782138084668,0.04749212317039984
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,9,166.97813866505322,76.49675201452105,0.502584096358144,0.03456347931408263
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,10,168.0366780357109,74.60293771046051,2.169570975445762,0.14920472429118986
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,11,167.2873679232072,73.9899094519292,0.9681266913262208,0.066579557752699
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,12,168.6220582545736,74.62619521361853,1.4785999631988151,0.10168558776958891
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,13,168.12437802964067,74.07899190669843,0.7396736208582715,0.05086848962982151
6041_LT_Imaging-D1_20231114.mp4,99.0,False,0.8,200.0,2282.0,14,168.25636424149639,73.29298808493643,0.7970083863702477,0.054811489410576224
